Fecha,cod_ine,CCAA,Casos,Hospitalizados,UCI,Fallecidos,Recuperados
2020-03-23,7,Castilla y León,2460,1057,137,124,140
2020-03-23,9,Cataluña,7864,3599,551,282,728
2020-03-23,18,Ceuta,6,0,0,0,0
2020-03-23,10,C. Valenciana,2167,917,161,115,37
2020-03-23,11,Extremadura,636,161,20,26,8
2020-03-23,12,Galicia,1415,338,55,20,19
2020-03-23,13,Madrid,12352,10443,1050,1535,2291
2020-03-23,19,Melilla,28,12,1,0,0
2020-03-23,14,Murcia,385,99,26,3,1
2020-03-23,15,Navarra,1014,405,45,31,11
2020-03-23,16,País Vasco,2728,1425,106,133,344
2020-03-23,17,La Rioja,802,206,24,30,24
2020-03-24,1,Andalucía,3010,1433,116,113,71
2020-03-24,2,Aragón,907,459,75,40,4
2020-03-24,3,Asturias,779,263,29,25,35
2020-03-24,4,Baleares,562,164,40,13,28
2020-03-24,5,Canarias,657,235,43,21,15
2020-03-24,6,Cantabria,510,241,18,14,12
2020-03-24,8,Castilla La Mancha,2780,2162,210,263,71
2020-03-24,7,Castilla y León,2940,1244,170,165,213
2020-03-24,9,Cataluña,9937,5434,781,516,1274
2020-03-24,18,Ceuta,9,2,1,0,0
2020-03-24,10,C. Valenciana,2616,1071,198,143,44
2020-03-24,11,Extremadura,742,209,28,39,8
2020-03-24,12,Galicia,1653,412,69,27,25
2020-03-24,13,Madrid,14597,11153,1150,1825,3031
2020-03-24,19,Melilla,38,14,2,0,0
2020-03-24,14,Murcia,477,127,33,5,4
2020-03-24,15,Navarra,1197,506,51,33,23
2020-03-24,16,País Vasco,3271,1577,119,155,466
2020-03-24,17,La Rioja,928,254,33,37,43
2020-03-25,1,Andalucía,3406,1626,134,134,77
2020-03-25,2,Aragón,1116,562,93,48,4
2020-03-25,3,Asturias,841,300,34,27,40
2020-03-25,4,Baleares,660,205,43,17,39
2020-03-25,5,Canarias,784,279,45,24,18
2020-03-25,6,Cantabria,671,300,26,17,14
2020-03-25,8,Castilla La Mancha,3383,2162,243,316,95
2020-03-25,7,Castilla y León,3488,1515,202,206,308
2020-03-25,9,Cataluña,11592,7439,1021,672,1697
2020-03-25,18,Ceuta,10,2,2,0,0
2020-03-25,10,C. Valenciana,3200,1278,230,167,57
2020-03-25,11,Extremadura,969,241,34,58,24
2020-03-25,12,Galicia,1915,503,86,32,47
2020-03-25,13,Madrid,17166,12440,1221,2090,3882
2020-03-25,19,Melilla,39,16,2,1,0
2020-03-25,14,Murcia,596,172,36,8,9
2020-03-25,15,Navarra,1411,649,54,49,35
2020-03-25,16,País Vasco,3946,1907,137,180,621
2020-03-25,17,La Rioja,995,316,36,43,48
2020-03-26,1,Andalucía,3793,1843,148,144,92
2020-03-26,2,Aragón,1338,693,114,58,8
2020-03-26,3,Asturias,900,339,47,29,52
2020-03-26,4,Baleares,755,237,46,22,67
2020-03-26,5,Canarias,878,328,61,27,20
2020-03-26,6,Cantabria,810,355,29,21,19
2020-03-26,8,Castilla La Mancha,3934,2707,273,367,153
2020-03-26,7,Castilla y León,4132,1791,228,252,423
2020-03-26,9,Cataluña,12940,8545,1187,880,2348
2020-03-26,18,Ceuta,17,2,2,0,0
2020-03-26,10,C. Valenciana,3532,1422,252,198,73
2020-03-26,11,Extremadura,1231,277,41,69,33
2020-03-26,12,Galicia,2322,557,98,43,67
2020-03-26,13,Madrid,19243,13580,1312,2412,5044
2020-03-26,19,Melilla,42,18,2,1,0
2020-03-26,14,Murcia,714,209,53,15,12
2020-03-26,15,Navarra,1641,732,75,58,70
2020-03-26,16,País Vasco,4601,2270,154,207,814
2020-03-26,17,La Rioja,1236,388,43,55,62
2020-03-27,1,Andalucía,4277,2106,172,175,139
2020-03-27,2,Aragón,1592,835,124,93,8
2020-03-27,3,Asturias,1004,408,50,33,65
2020-03-27,4,Baleares,862,283,59,26,80
2020-03-27,5,Canarias,1025,377,68,36,25
2020-03-27,6,Cantabria,937,406,37,22,21
2020-03-27,8,Castilla La Mancha,4512,2977,289,448,197
2020-03-27,7,Castilla y León,4791,2063,249,321,585
2020-03-27,9,Cataluña,14263,9900,1324,1070,3106
2020-03-27,18,Ceuta,17,2,2,1,0
2020-03-27,10,C. Valenciana,4034,1694,282,234,92
2020-03-27,11,Extremadura,1394,312,40,88,49
2020-03-27,12,Galicia,2772,906,112,47,95
2020-03-27,13,Madrid,21520,14211,1404,2757,6326
2020-03-27,19,Melilla,45,22,2,1,0
2020-03-27,14,Murcia,802,231,58,17,12
2020-03-27,15,Navarra,1829,827,84,70,98
2020-03-27,16,País Vasco,5136,2612,176,241,1023
2020-03-27,17,La Rioja,1436,458,43,65,364
2020-03-28,1,Andalucía,4682,2294,201,207,148
2020-03-28,2,Aragón,1858,835,124,104,8
2020-03-28,3,Asturias,1088,466,57,41,76
2020-03-28,4,Baleares,958,345,71,29,82
2020-03-28,5,Canarias,1125,425,78,39,30
2020-03-28,6,Cantabria,1023,449,40,26,24
2020-03-28,8,Castilla La Mancha,5246,3018,299,539,236
2020-03-28,7,Castilla y León,5414,2408,278,380,752
2020-03-28,9,Cataluña,15026,10688,1391,1226,3455
2020-03-28,18,Ceuta,21,2,2,1,0
2020-03-28,10,C. Valenciana,4784,1874,309,267,161
2020-03-28,11,Extremadura,1456,313,41,100,51
2020-03-28,12,Galicia,3139,1043,123,60,153
2020-03-28,13,Madrid,22677,14454,1429,3082,7491
2020-03-28,19,Melilla,48,24,2,1,0
2020-03-28,14,Murcia,872,260,58,20,16
2020-03-28,15,Navarra,2011,896,90,84,125
2020-03-28,16,País Vasco,5740,3106,271,265,1503
2020-03-28,17,La Rioja,1629,497,43,68,397
2020-03-29,1,Andalucía,5405,2671,216,236,155
2020-03-29,2,Aragón,2078,1094,156,106,174
2020-03-29,3,Asturias,1158,479,60,49,78
2020-03-29,4,Baleares,1000,353,80,37,100
2020-03-29,5,Canarias,1204,444,84,40,32
2020-03-29,6,Cantabria,1100,481,46,27,24
2020-03-29,8,Castilla La Mancha,5858,3134,302,622,252
2020-03-29,7,Castilla y León,5801,2540,307,442,871
2020-03-29,9,Cataluña,16157,11769,1512,1410,4125
2020-03-29,18,Ceuta,25,2,2,1,0
2020-03-29,10,C. Valenciana,5110,2042,336,310,185
2020-03-29,11,Extremadura,1560,353,43,106,60
2020-03-29,12,Galicia,3723,1147,134,66,168
2020-03-29,13,Madrid,24090,14917,1460,3392,8301
2020-03-29,19,Melilla,51,27,3,1,0
2020-03-29,14,Murcia,939,265,58,25,17
2020-03-29,15,Navarra,2146,955,96,102,161
2020-03-29,16,País Vasco,6057,3427,293,297,1646
2020-03-29,17,La Rioja,1733,517,43,71,431
2020-03-30,1,Andalucía,5818,2867,235,248,160
2020-03-30,2,Aragón,2272,1176,165,138,204
2020-03-30,3,Asturias,1236,529,65,55,90
2020-03-30,4,Baleares,1069,399,85,42,111
2020-03-30,5,Canarias,1262,483,94,55,57
2020-03-30,6,Cantabria,1171,522,50,37,35
2020-03-30,8,Castilla La Mancha,6424,3225,344,708,296
2020-03-30,7,Castilla y León,6211,2601,325,516,1028
2020-03-30,9,Cataluña,18773,12974,1652,1672,4966
2020-03-30,18,Ceuta,34,3,3,1,0
2020-03-30,10,C. Valenciana,5508,2189,356,339,200
2020-03-30,11,Extremadura,1628,371,51,133,91
2020-03-30,12,Galicia,4039,1250,149,84,187
2020-03-30,13,Madrid,27509,15140,1514,3603,9330
2020-03-30,19,Melilla,54,27,3,1,0
2020-03-30,14,Murcia,974,283,59,34,20
2020-03-30,15,Navarra,2305,1035,99,113,192
2020-03-30,16,País Vasco,6320,3594,307,325,1796
2020-03-30,17,La Rioja,1810,575,51,85,496
2020-03-31,1,Andalucía,6392,3147,260,308,182
2020-03-31,2,Aragón,2491,1234,168,169,257
2020-03-31,3,Asturias,1322,590,76,63,109
2020-03-31,4,Baleares,1131,468,95,46,170
2020-03-31,5,Canarias,1380,532,110,62,77
2020-03-31,6,Cantabria,1213,543,54,54,43
2020-03-31,8,Castilla La Mancha,7047,3230,353,774,397
2020-03-31,7,Castilla y León,6847,2692,345,585,1259
2020-03-31,9,Cataluña,19991,13969,1769,1849,5701
2020-03-31,18,Ceuta,51,6,3,1,0
2020-03-31,10,C. Valenciana,5922,2189,365,395,240
2020-03-31,11,Extremadura,1679,372,58,152,113
2020-03-31,12,Galicia,4432,1338,158,103,259
2020-03-31,13,Madrid,29840,15227,1514,3865,10827
2020-03-31,19,Melilla,62,32,3,1,0
2020-03-31,14,Murcia,1041,304,59,37,43
2020-03-31,15,Navarra,2497,1120,104,130,236
2020-03-31,16,País Vasco,6838,3806,324,369,2165
2020-03-31,17,La Rioja,1960,619,54,90,569
2020-04-01,1,Andalucía,6972,3444,280,343,228
2020-04-01,2,Aragón,2700,1320,178,200,320
2020-04-01,3,Asturias,1384,640,79,69,135
2020-04-01,4,Baleares,1204,517,105,58,239
2020-04-01,5,Canarias,1444,566,113,68,94
2020-04-01,6,Cantabria,1268,567,57,60,60
2020-04-01,8,Castilla La Mancha,7682,3230,355,854,494
2020-04-01,7,Castilla y León,7355,2709,353,641,1498
2020-04-01,9,Cataluña,21804,15489,1855,2093,6917
2020-04-01,18,Ceuta,55,7,3,1,0
2020-04-01,10,C. Valenciana,6308,2189,379,443,432
2020-04-01,11,Extremadura,1837,412,62,181,139
2020-04-01,12,Galicia,4842,1447,165,120,333
2020-04-01,13,Madrid,32155,15227,1528,4175,12400
2020-04-01,19,Melilla,62,32,3,1,0
2020-04-01,14,Murcia,1084,389,68,42,45
2020-04-01,15,Navarra,2682,1181,108,141,278
2020-04-01,16,País Vasco,7317,4087,344,412,2490
2020-04-01,17,La Rioja,2083,660,57,101,641
2020-04-02,1,Andalucía,7374,3673,338,376,258
2020-04-02,2,Aragón,2889,1431,180,224,378
2020-04-02,3,Asturias,1433,702,86,70,154
2020-04-02,4,Baleares,1257,587,112,69,375
2020-04-02,5,Canarias,1490,605,120,73,102
2020-04-02,6,Cantabria,1321,592,59,64,74
2020-04-02,8,Castilla La Mancha,8523,3168,355,916,579
2020-04-02,7,Castilla y León,7875,2711,355,723,1759
2020-04-02,9,Cataluña,23460,17257,2053,2335,7849
2020-04-02,18,Ceuta,62,8,3,1,2
2020-04-02,10,C. Valenciana,6624,2064,386,511,592
2020-04-02,11,Extremadura,1893,415,64,200,164
2020-04-02,12,Galicia,5219,1630,178,138,435
2020-04-02,13,Madrid,34188,15050,1506,4483,13850
2020-04-02,19,Melilla,70,34,3,2,4
2020-04-02,14,Murcia,1145,405,72,46,90
2020-04-02,15,Navarra,2836,1284,119,151,294
2020-04-02,16,País Vasco,7827,4283,363,444,2809
2020-04-02,17,La Rioja,2224,738,64,109,745
2020-04-03,1,Andalucía,7869,3896,364,426,463
2020-04-03,2,Aragón,3078,1505,190,251,440
2020-04-03,3,Asturias,1522,766,87,76,190
2020-04-03,4,Baleares,1271,634,114,71,422
2020-04-03,5,Canarias,1564,632,128,78,123
2020-04-03,6,Cantabria,1384,619,60,68,99
2020-04-03,8,Castilla La Mancha,9324,3133,360,989,657
2020-04-03,7,Castilla y León,8332,2664,348,786,2021
2020-04-03,9,Cataluña,24734,17678,2108,2508,8635
2020-04-03,18,Ceuta,73,8,4,1,2
2020-04-03,10,C. Valenciana,6901,1977,386,571,695
2020-04-03,11,Extremadura,1979,453,64,208,205
2020-04-03,12,Galicia,5625,1767,178,159,531
2020-04-03,13,Madrid,36249,14741,1498,4723,15362
2020-04-03,19,Melilla,79,37,3,2,9
2020-04-03,14,Murcia,1188,434,79,51,113
2020-04-03,15,Navarra,2972,1341,120,171,311
2020-04-03,16,País Vasco,8187,4522,377,477,3098
2020-04-03,17,La Rioja,2405,805,64,128,843
2020-04-04,1,Andalucía,8301,4107,474,470,665
2020-04-04,2,Aragón,3232,1588,233,270,537
2020-04-04,3,Asturias,1605,808,90,80,216
2020-04-04,4,Baleares,1293,664,120,75,461
2020-04-04,5,Canarias,1622,644,129,80,137
2020-04-04,6,Cantabria,1441,639,62,68,113
2020-04-04,8,Castilla La Mancha,10031,2950,357,1055,1149
2020-04-04,7,Castilla y León,8749,2574,351,847,2331
2020-04-04,9,Cataluña,26032,18656,2249,2637,9528
2020-04-04,18,Ceuta,83,9,4,2,2
2020-04-04,10,C. Valenciana,7184,1901,381,613,812
2020-04-04,11,Extremadura,2047,417,66,218,215
2020-04-04,12,Galicia,5944,1831,170,174,587
2020-04-04,13,Madrid,37584,14551,1499,4941,16543
2020-04-04,19,Melilla,83,38,3,2,11
2020-04-04,14,Murcia,1235,447,80,59,130
2020-04-04,15,Navarra,3073,1399,123,178,334
2020-04-04,16,País Vasco,8628,4666,404,515,3405
2020-04-04,17,La Rioja,2592,855,66,134,904
2020-04-05,1,Andalucía,8581,4227,489,491,798
2020-04-05,2,Aragón,3347,1637,237,284,565
2020-04-05,3,Asturias,1646,846,90,86,222
2020-04-05,4,Baleares,1320,683,121,81,531
2020-04-05,5,Canarias,1649,651,133,85,157
2020-04-05,6,Cantabria,1483,658,65,77,118
2020-04-05,8,Castilla La Mancha,10602,2901,354,1132,1259
2020-04-05,7,Castilla y León,9116,2508,348,919,2533
2020-04-05,9,Cataluña,26824,19143,2276,2760,10088
2020-04-05,18,Ceuta,83,9,4,3,2
2020-04-05,10,C. Valenciana,7334,1909,384,637,930
2020-04-05,11,Extremadura,2068,453,66,228,223
2020-04-05,12,Galicia,6151,1916,170,190,610
2020-04-05,13,Madrid,38723,14501,1510,5136,17322
2020-04-05,19,Melilla,86,38,3,2,11
2020-04-05,14,Murcia,1259,468,81,68,156
2020-04-05,15,Navarra,3231,1432,124,187,380
2020-04-05,16,País Vasco,8810,4794,410,548,3568
2020-04-05,17,La Rioja,2719,888,66,141,964
2020-04-06,1,Andalucía,8767,4335,499,528,900
2020-04-06,2,Aragón,3449,1663,247,312,578
2020-04-06,3,Asturias,1679,889,91,96,244
2020-04-06,4,Baleares,1369,705,124,84,537
2020-04-06,5,Canarias,1725,689,137,89,186
2020-04-06,6,Cantabria,1501,677,66,85,129
2020-04-06,8,Castilla La Mancha,11077,2908,360,1177,1353
2020-04-06,7,Castilla y León,9581,5180,346,982,2711
2020-04-06,9,Cataluña,28323,19745,2391,2908,10738
2020-04-06,18,Ceuta,83,9,4,4,2
2020-04-06,10,C. Valenciana,7443,1887,384,672,1103
2020-04-06,11,Extremadura,2116,686,70,258,282
2020-04-06,12,Galicia,6331,1968,162,204,688
2020-04-06,13,Madrid,40469,13950,1494,5371,18410
2020-04-06,19,Melilla,92,40,3,2,11
2020-04-06,14,Murcia,1283,500,84,78,193
2020-04-06,15,Navarra,3355,1488,124,202,421
2020-04-06,16,País Vasco,9021,4856,417,586,3728
2020-04-06,17,La Rioja,2846,918,66,160,994
